code,sector_code,sector_name,industry_code,industry_name,updated_at,source
357780,03,기타 화학제품 제조업,032004,기타 화학제품 제조업,2026-02-10T04:27:38.407294,search_stock_info:industry_fallback
358570,13,자연과학 및 공학 연구개발업,137001,자연과학 및 공학 연구개발업,2026-02-10T04:27:39.214030,search_stock_info:industry_fallback
373220,03,일차전지 및 축전지 제조업,032802,일차전지 및 축전지 제조업,2026-02-10T04:27:40.610477,search_stock_info:industry_fallback
376300,10,소프트웨어 개발 및 공급업,105802,소프트웨어 개발 및 공급업,2026-02-10T04:27:41.306482,search_stock_info:industry_fallback
376900,03,의료용품 및 기타 의약관련제품 제조업,032103,의료용품 및 기타 의약관련제품 제조업,2026-02-10T04:27:42.607163,search_stock_info:industry_fallback
377300,11,기타 금융업,116409,기타 금융업,2026-02-10T04:27:43.729180,search_stock_info:industry_fallback
388210,03,전자부품 제조업,032602,전자부품 제조업,2026-02-10T04:27:44.628246,search_stock_info:industry_fallback
388720,03,특수 목적용 기계 제조업,032902,특수 목적용 기계 제조업,2026-02-10T04:27:45.806868,search_stock_info:industry_fallback
389470,13,자연과학 및 공학 연구개발업,137001,자연과학 및 공학 연구개발업,2026-02-10T04:27:46.993200,search_stock_info:industry_fallback
397030,13,자연과학 및 공학 연구개발업,137001,자연과학 및 공학 연구개발업,2026-02-10T04:27:47.708147,search_stock_info:industry_fallback
402340,11,기타 금융업,116409,기타 금융업,2026-02-10T04:27:48.987195,search_stock_info:industry_fallback
403870,03,특수 목적용 기계 제조업,032902,특수 목적용 기계 제조업,2026-02-10T04:27:49.713610,search_stock_info:industry_fallback
417200,03,전자부품 제조업,032602,전자부품 제조업,2026-02-10T04:27:51.130126,search_stock_info:industry_fallback
437730,03,자동차 부품 제조업,033003,자동차 부품 제조업,2026-02-10T04:27:51.838347,search_stock_info:industry_fallback
440110,03,반도체 제조업,032601,반도체 제조업,2026-02-10T04:27:52.506276,search_stock_info:industry_fallback
